metric,n,mean,median,sd,p05,p95,min,max,cv,verdict
static: friction % (events),20,65.70317523552663,65.80524256852092,1.0499766730874929,64.51691276199988,67.18535392340408,62.12624584717608,67.36156351791531,0.015980607776163544,stable: publish as point estimate
static: human friction %,20,61.726605228584695,61.70380489440686,1.0913305098460013,60.37252766970436,63.150816496585755,58.27242524916944,63.68078175895766,0.017680066898294645,stable: publish as point estimate
static: dollar friction %,20,79.00406161215702,79.16984212439917,1.2312148101309852,77.63108434648373,80.41325082208206,74.92674817069114,81.31273725153108,0.015584196369234868,stable: publish as point estimate
static: analyst hrs/week,20,29.319111111111113,29.28333333333333,0.8791384523802506,28.00855555555556,30.457777777777782,27.284444444444443,30.457777777777782,0.029985167321361323,stable: publish as point estimate
static: exposure $,20,19190.190986499998,18701.03938333333,11501.468434972658,6333.097151999999,46190.907588833325,4538.028679999999,49681.560555,0.5993410093241783,anecdotal: do not publish as a number
static: catch rate,20,0.8162500000000001,0.9,0.1204473569219088,0.6,0.9000000000000001,0.6,0.9000000000000001,0.14756184615241505,moderate: publish with range
static: fraud events in window,20,4.5,5.0,1.7320508075688772,2.0,7.050000000000001,2.0,8.0,0.38490017945975047,unstable: publish range only
learned: friction % (events),20,43.72836578304042,43.7385540783878,1.410863279789477,41.65214005405488,46.1938236798679,40.23255813953488,46.48208469055375,0.03226425809712435,stable: publish as point estimate
learned: human friction %,20,39.75690296722367,39.7184289600289,1.4054577799044978,37.84325066586973,42.30128717540942,36.411960132890364,42.76872964169381,0.03535128933617348,stable: publish as point estimate
learned: dollar friction %,20,61.94998321338011,61.934369020315856,1.8934851139653792,59.141910951895206,65.11174769080361,57.30372461847891,66.43489431146179,0.030564739742438216,stable: publish as point estimate
learned: analyst hrs/week,20,18.884444444444444,18.78333333333333,0.8234784145047739,17.773,20.394888888888886,17.048888888888886,20.424444444444447,0.043606176338803045,stable: publish as point estimate
learned: exposure $,20,19534.493089,19530.223121666662,11573.673778736958,6333.097151999999,46190.907588833325,4538.028679999999,49681.560555,0.5924737194872064,anecdotal: do not publish as a number
learned: catch rate,20,0.8087500000000001,0.9,0.12914572552373785,0.6,0.9000000000000001,0.6,0.9000000000000001,0.1596855957016851,unstable: publish range only
learned: fraud events in window,20,4.5,5.0,1.7320508075688772,2.0,7.050000000000001,2.0,8.0,0.38490017945975047,unstable: publish range only
